"Tow Date","Make","Style","Model","Color","Plate","State","Towed to Address","Tow Facility Phone","Inventory Number"
"02/12/2026","ACUR","4D",,"WHI","FQ80351","IL","400 E. Lower Wacker","(312) 744-7550","0362842"
"02/12/2026","AUDI","4D",,"SIL","1234567","IL","10300 S. Doty","(773) 568-8495","3001901"
"02/12/2026","BMW","4D",,"BLK","JJFB28","FL","701 N. Sacramento","(773) 265-7605","7149362"
"02/12/2026","BMW","4D",,"BRO","945DTG","IN","400 E. Lower Wacker","(312) 744-7550","0362847"
"02/12/2026","BMW","4D",,"BLK","JJFB28","FL","701 N. Sacramento","(773) 265-7605","7149362"
"02/12/2026","BMW","LL",,"BLK","K1LXR","MI","400 E. Lower Wacker","(312) 744-7550","0362810"
"02/12/2026","BUIC","4D",,"WHI","1234567","IL","10300 S. Doty","(773) 568-8495","3001903"
"02/12/2026","BUIC","4D",,"MAR","ER18076","IL","400 E. Lower Wacker","(312) 744-7550","0362844"
"02/12/2026","CHEV","4D",,"GLD","704AC076","IL","400 E. Lower Wacker","(312) 744-7550","0362831"
"02/12/2026","CHEV","4D",,"BLU","FQ54362","IL","10300 S. Doty","(773) 568-8495","3001900"
"02/12/2026","CHEV","4D",,"WHI","AV19682","IL","10300 S. Doty","(773) 568-8495","3001914"
"02/12/2026","CHEV","4D",,"WHI","FY47953","IL","10300 S. Doty","(773) 568-8495","3001920"
"02/12/2026","CHEV","4D",,"BLK","FX22002","IL","400 E. Lower Wacker","(312) 744-7550","0362843"
"02/12/2026","CHEV","4D",,"WHI","19AIW","FL","701 N. Sacramento","(773) 265-7605","7149316"
"02/12/2026","CHEV","4D",,"WHI","NONE","IL","400 E. Lower Wacker","(312) 744-7550","0362826"
"02/12/2026","CHEV","4D",,"BLK","FDW815","IL","701 N. Sacramento","(773) 265-7605","7149308"
"02/12/2026","CHEV","LL",,"WHI","CZ26307","IL","701 N. Sacramento","(773) 265-7605","7149335"
"02/12/2026","CHEV","LL",,"MAR","Q318880","IL","701 N. Sacramento","(773) 265-7605","7149334"
"02/12/2026","CHEV","LL",,"GRY","FQ87635","IL","701 N. Sacramento","(773) 265-7605","7149333"
"02/12/2026","CHEV","PK",,"WHI","3338533B","IL","10300 S. Doty","(773) 568-8495","3001921"
"02/12/2026","CHEV","PK",,"BRO","3319771B","IL","701 N. Sacramento","(773) 265-7605","7149350"
"02/12/2026","CHRY","2D",,"SIL","Q621530","IL","701 N. Sacramento","(773) 265-7605","7149319"
"02/12/2026","CHRY","LL",,"SIL","EL23267","IL","701 N. Sacramento","(773) 265-7605","7149302"
"02/12/2026","DODG","4D",,"RED","EB32470","IL","701 N. Sacramento","(773) 265-7605","7149376"
"02/12/2026","DODG","LL",,"BLU","DW24283","IL","701 N. Sacramento","(773) 265-7605","7149303"
"02/12/2026","FORD","4D",,"SIL","DH74986","IL","701 N. Sacramento","(773) 265-7605","7149327"
"02/12/2026","FORD","4D",,"GRY","1234567","IL","10300 S. Doty","(773) 568-8495","3001902"
"02/12/2026","FORD","4D",,"WHI","3301718B","IL","701 N. Sacramento","(773) 265-7605","7149373"
"02/12/2026","FORD","4D",,"BRO","FJ99603","IL","701 N. Sacramento","(773) 265-7605","7149375"
"02/12/2026","FORD","4D",,"RED","3360559B","IL","701 N. Sacramento","(773) 265-7605","7149322"
"02/12/2026","FORD","4D",,"RED","9441P","IL","701 N. Sacramento","(773) 265-7605","7149317"
"02/12/2026","FORD","4D",,"WHI","EY25906","IL","701 N. Sacramento","(773) 265-7605","7149363"
"02/12/2026","FORD","LL",,"WHI","EV77396","IL","701 N. Sacramento","(773) 265-7605","7149307"
"02/12/2026","FORD","LL",,"GRY","FW12403","IL","701 N. Sacramento","(773) 265-7605","7149329"
"02/12/2026","FORD","PK",,"BLU","1234567","IL","701 N. Sacramento","(773) 265-7605","7149291"
"02/12/2026","HOND","4D",,"GRY","CH27469","IL","701 N. Sacramento","(773) 265-7605","7149351"
"02/12/2026","HOND","4D",,"GRY","AT48775","IL","701 N. Sacramento","(773) 265-7605","7149305"
"02/12/2026","HOND","4D",,"RED","REDRCK8","IL","400 E. Lower Wacker","(312) 744-7550","0362839"
"02/12/2026","HOND","4D",,"GRY","ZXYZX","FL","701 N. Sacramento","(773) 265-7605","7149292"
"02/12/2026","HOND","4D",,"BLU","EB87722","IL","400 E. Lower Wacker","(312) 744-7550","0362835"
"02/12/2026","HOND","4D",,"BLK","EA83177","IL","400 E. Lower Wacker","(312) 744-7550","0362828"
"02/12/2026","HOND","4D",,"GRY","7497IS","IL","701 N. Sacramento","(773) 265-7605","7149301"
"02/12/2026","HOND","4D",,"GRY","EJ38386","IL","701 N. Sacramento","(773) 265-7605","7149306"
"02/12/2026","HOND","4D",,"BLK","76BAKX","FL","701 N. Sacramento","(773) 265-7605","7149326"
"02/12/2026","HOND","LL",,"SIL","E810122","IL","10300 S. Doty","(773) 568-8495","3001909"
"02/12/2026","HOND","LL",,"SIL","S825237","IL","701 N. Sacramento","(773) 265-7605","7149300"
"02/12/2026","HOND","LL",,"MAR","FA86684","IL","701 N. Sacramento","(773) 265-7605","7149295"
"02/12/2026","HYUN","4D",,"GRY","FR90561","IL","400 E. Lower Wacker","(312) 744-7550","0362845"
"02/12/2026","HYUN","4D",,"GRY","JYG6214","OH","400 E. Lower Wacker","(312) 744-7550","0362834"
"02/12/2026","HYUN","4D",,"LGR","FE23379","IL","400 E. Lower Wacker","(312) 744-7550","0362819"
"02/12/2026","HYUN","4D",,"GRY","PQH466","IA","400 E. Lower Wacker","(312) 744-7550","0362849"
"02/12/2026","HYUN","LL",,"WHI","DY74902","IL","10300 S. Doty","(773) 568-8495","3001922"
"02/12/2026","HYUN","LL",,"GRY","CY68062","IL","400 E. Lower Wacker","(312) 744-7550","0362807"
"02/12/2026","HYUN","LL",,"WHI","AZ80316","IL","10300 S. Doty","(773) 568-8495","3001917"
"02/12/2026","HYUN","LL",,"SIL","EH29246","IL","10300 S. Doty","(773) 568-8495","3001915"
"02/12/2026","INFI","4D",,"GRY","ED23994","IL","701 N. Sacramento","(773) 265-7605","7149361"
"02/12/2026","JEEP","4D",,"BLK","EL84839","IL","400 E. Lower Wacker","(312) 744-7550","0362840"
"02/12/2026","JEEP","4D",,"BLK","CS23224","IL","400 E. Lower Wacker","(312) 744-7550","0362829"
"02/12/2026","JEEP","LL",,"BLK","FN17590","IL","10300 S. Doty","(773) 568-8495","3001918"
"02/12/2026","JEEP","LL",,"BLK","DT54783","IL","701 N. Sacramento","(773) 265-7605","7149294"
"02/12/2026","JEEP","LL",,"BLK","5747285","IL","10300 S. Doty","(773) 568-8495","3001899"
"02/12/2026","JEEP","LL",,"GRY","Z104609","IL","10300 S. Doty","(773) 568-8495","3001916"
"02/12/2026","JEEP","LL",,"BLK","CL49029","IL","10300 S. Doty","(773) 568-8495","3001912"
"02/12/2026","JEEP","LL",,"WHI","DR80833","IL","701 N. Sacramento","(773) 265-7605","7149297"
"02/12/2026","KIA","4D",,"GRY","43505AFT","WI","10300 S. Doty","(773) 568-8495","3001910"
"02/12/2026","KIA","4D",,"BLK","BT41DY","FL","701 N. Sacramento","(773) 265-7605","7149353"
"02/12/2026","KIA","4D",,"BLK","EG37485","IL","400 E. Lower Wacker","(312) 744-7550","0362838"
"02/12/2026","KIA","4D",,"GRY","FY97839","IL","701 N. Sacramento","(773) 265-7605","7149369"
"02/12/2026","KIA","LL",,"MAR","EG19782","IL","701 N. Sacramento","(773) 265-7605","7149328"
"02/12/2026","KIA","VN",,"WHI","36AUHD","FL","400 E. Lower Wacker","(312) 744-7550","0362806"
"02/12/2026","LEXS","4D",,"BLK","BSTC99","NM","701 N. Sacramento","(773) 265-7605","7149359"
"02/12/2026","LEXS","4D",,"WHI","318746","IL","701 N. Sacramento","(773) 265-7605","7149323"
"02/12/2026","LINC","4D",,"BLK","1234567","IL","701 N. Sacramento","(773) 265-7605","7149314"
"02/12/2026","MASE","LL",,"WHI","DX43141","IL","701 N. Sacramento","(773) 265-7605","7149312"
"02/12/2026","MITS","4D",,"SIL","FL93792","IL","400 E. Lower Wacker","(312) 744-7550","0362846"
"02/12/2026","NISS","4D",,"WHI","BM57276","IL","400 E. Lower Wacker","(312) 744-7550","0362825"
"02/12/2026","NISS","4D",,"BLK","N332495","IL","701 N. Sacramento","(773) 265-7605","7149367"
"02/12/2026","NISS","4D",,"BLK","EL53847","IL","701 N. Sacramento","(773) 265-7605","7149318"
"02/12/2026","NISS","4D",,"BLK","FN52106","IL","400 E. Lower Wacker","(312) 744-7550","0362830"
"02/12/2026","NISS","4D",,"GRY","BZ92325","IL","701 N. Sacramento","(773) 265-7605","7149321"
"02/12/2026","NISS","4D",,"WHI","6GFH49","MA","400 E. Lower Wacker","(312) 744-7550","0362852"
"02/12/2026","NISS","4D",,"GRY","FE65173","IL","701 N. Sacramento","(773) 265-7605","7149310"
"02/12/2026","NISS","4D",,"BLK","AY40790","IL","400 E. Lower Wacker","(312) 744-7550","0362832"
"02/12/2026","NISS","4D",,"WHI","TM0S4F","MO","10300 S. Doty","(773) 568-8495","3001919"
"02/12/2026","NISS","4D",,"GRY","BR21004","IL","701 N. Sacramento","(773) 265-7605","7149360"
"02/12/2026","NISS","4D",,"BLK","EV68618","IL","701 N. Sacramento","(773) 265-7605","7149332"
"02/12/2026","NISS","4D",,"BLK","S451572","IL","400 E. Lower Wacker","(312) 744-7550","0362848"
"02/12/2026","NISS","4D",,"BLK","FW34446","IL","701 N. Sacramento","(773) 265-7605","7149331"
"02/12/2026","NISS","LL",,"GRY","FG84910","IL","701 N. Sacramento","(773) 265-7605","7149315"
"02/12/2026","NISS","LL",,"GRY","FF11060","IL","701 N. Sacramento","(773) 265-7605","7149304"
"02/12/2026","PONT","4D",,"GRY","FG41260","IL","701 N. Sacramento","(773) 265-7605","7149358"
"02/12/2026","SUBA","4D",,"BLU","Q429331","IL","701 N. Sacramento","(773) 265-7605","7149320"
"02/12/2026","SUBA","4D",,"GRY","CB47938","IL","701 N. Sacramento","(773) 265-7605","7149324"
"02/12/2026","SUBA","4D",,"GRY","AU35656","IL","701 N. Sacramento","(773) 265-7605","7149326"
"02/12/2026","TOYT","4D",,"GRY","EW63832","IL","701 N. Sacramento","(773) 265-7605","7149352"
"02/12/2026","TOYT","4D",,"WHI","FW37723","IL","10300 S. Doty","(773) 568-8495","3001913"
"02/12/2026","TOYT","4D",,"MAR","3843185B","IL","701 N. Sacramento","(773) 265-7605","7149354"
"02/12/2026","TOYT","4D",,"WHI","FH92125","IL","701 N. Sacramento","(773) 265-7605","7149355"
"02/12/2026","TOYT","4D","AVA","WHI","EB34639","IL","701 N. Sacramento","(773) 265-7605","7149364"
"02/12/2026","TOYT","LL",,"BLU","857UYC","WI","701 N. Sacramento","(773) 265-7605","7149336"
"02/12/2026","TOYT","LL",,"GRY","FD71042","IL","701 N. Sacramento","(773) 265-7605","7149298"
"02/12/2026","TOYT","LL",,"GRY","EMP8346","MI","701 N. Sacramento","(773) 265-7605","7149330"
"02/12/2026","VOLK","4D",,"BLK","EL94240","IL","400 E. Lower Wacker","(312) 744-7550","0362853"
"02/12/2026","VOLK","4D",,"SIL","EV63197","IL","701 N. Sacramento","(773) 265-7605","7149299"
"02/12/2026","VOLK","4D",,"GRY","401443","IL","400 E. Lower Wacker","(312) 744-7550","0362823"
"02/12/2026","VOLK","4D",,"GRY","FP213496","IL","400 E. Lower Wacker","(312) 744-7550","0362850"
"02/12/2026","VOLK","LL",,"WHI","FH31932","IL","10300 S. Doty","(773) 568-8495","3001911"
