ZIP,UNITS,_ - community_area,_ - community_area_number,_ - property_type,_ - property_name,_ - address,_ - phone_number,_ - management_company,_ - x_coordinate,_ - y_coordinate,_ - latitude,_ - longitude,_ - :@computed_region_awaf_s7ux,_ - :@computed_region_43wa_7qmu,_ - :@computed_region_vrxf_vc4k,_ - :@computed_region_6mkv_f3dw,_ - :@computed_region_bdys_3d7i,_ - location - latitude,_ - location - longitude,_ - location - human_address
60647,25,Avondale,21,Multifamily,Hairpin Lofts,3414 W. Diversey Ave.,773-292-6360,Leasing & Management Co. Inc.,1153078.89,1918447.998,41.93207259,-87.71287204,,,,,,,,
60605,23,Loop,32,ARO,1000M,1000 S. Michigan Ave.,312-820-1000,Willow Bridge,1177375.505,1895971.036,41.86987759,-87.6242687,,,,,,,,
60647,1,Logan Square,22,ARO,2556 Armtiage LLC,2556 W. Armitage Ave,773-252-0600,North Clybourn Group,1158751.315,1913231.215,41.91764283,-87.69216996,24,41,23,22535,294,41.917642826462,-87.6921699562562,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60616,134,Douglas,35,Multifamily,South Park Plaza,2600 S. King Dr.,312-674-9210,Woodlawn Comm. Dev. Corp.,1179206.472,1887158.196,41.84565291,-87.61781639,1,10,1,21194,191,41.8456529117633,-87.6178163910093,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60608,7,Near West Side,28,ARO,The Rosie,1461 S. Blue Island Ave.,872-259-7452,The FLATS,1168331.384,1892984.019,41.86188118,-87.65755844,8,26,29,14920,96,41.86188117554516,-87.65755843617394,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60640,5,Uptown,3,ARO,Platform 4611,4611 N. Broadway,312-264-2280,Platform 4611,1168036.159,1930840.623,41.96576829,-87.6575472,37,39,31,22616,241,41.96576829198519,-87.65754719663556,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60623,11,North Lawndale,29,Multifamily,Praise Apts.,1859 S. Pulaski Road,773-762-3389,Lawndale Christian Residential Svcs.,1150056.063,1890463.503,41.85533972,-87.72471008,36,14,30,21569,752,41.8553397217037,-87.7247100762886,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60615,97,Kenwood,39,Multifamily,Cottage View Terrace,4829 S. Cootage Grove Ave.,872-263-2362,UPA LLC,1182447.475,1873039.189,41.80683465,-87.60636083,1,10,5,21192,461,41.80683465328728,-87.6063608291085,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60608,68,Near West Side,28,Senior,Loomis Court,1314 W. 15th St.,312-850-4128,CHA,1167767.395,1892902.581,41.86166987,-87.65963108,48,26,29,14920,96,41.8616698672629,-87.6596310829808,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60657,8,Lake View,6,ARO,Low-Line Commons,3431 N Ashland Ave,773-739-8839,33 Realty,1165079.655,1922988.589,41.94428543,-87.66864155,38,25,57,4449,239,41.94428543256419,-87.668641546406,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
